Re,Rep,Orient,current,Model,Speed,Refresh
1.59,1,B,0,C,0.4383951489,
1.59,2,B,0,C,0.5198439371,
1.59,3,B,0,C,0.4109238025,
1.83,1,B,4,C,0.5698962997,
1.83,2,B,4,C,0.724091056,
1.83,3,B,4,C,0.573508348,
2.82,1,B,15,C,1.1005997811,
2.82,2,B,15,C,1.5374862535,
2.82,3,B,15,C,1.2794582456,
0.57,1,B,0,C,0.0890597104,
0.57,2,B,0,C,0.1298449281,
0.57,3,B,0,C,0.0739759604,
0.23,1,B,4,C,0.0450164094,
0.23,2,B,4,C,0.0379607153,
0.23,3,B,4,C,0.0480452822,
0.94,1,B,15,C,0.1630211492,
0.94,2,B,15,C,0.2011009718,
0.94,3,B,15,C,0.1568713843,
1.59,1,F,0,C,1.4403376199,0.3731
1.59,2,F,0,C,1.4062785035,0.3339
1.59,3,F,0,C,1.4474235902,0.5239
1.83,1,F,4,C,1.7503974104,0.4666
1.83,2,F,4,C,1.8995042139,0.4128
1.83,3,F,4,C,1.7561078995,0.6081
2.82,1,F,15,C,3.8297793231,0.6632
2.82,2,F,15,C,3.3432835534,0.6839
2.82,3,F,15,C,3.6823198627,0.8064
0.57,1,F,0,C,0.212063053,
0.57,2,F,0,C,0.1793256595,
0.57,3,F,0,C,0.1743456974,
0.23,1,F,4,C,0.0471392579,
0.23,2,F,4,C,0.0431224276,
0.23,3,F,4,C,0.050804003,
0.94,1,F,15,C,0.5213494948,
0.94,2,F,15,C,0.5478169744,
0.94,3,F,15,C,0.5213369722,
1.59,1,B,0,S,0.1378420022,
1.59,2,B,0,S,0.144696023,
1.59,3,B,0,S,0.103143205,
1.83,1,B,4,S,0.1491989357,
1.83,2,B,4,S,0.2241177923,
1.83,3,B,4,S,0.4281691092,
2.82,1,B,15,S,0.5917801893,
2.82,2,B,15,S,0.5705588285,
2.82,3,B,15,S,0.4435655425,
0.57,1,B,0,S,0.0378201983,0.0725
0.57,2,B,0,S,0.0472453599,0.0658
0.57,3,B,0,S,0.0343627309,0.0833
0.23,1,B,4,S,0.0244427899,0.0705
0.23,2,B,4,S,0.0251928413,0.0611
0.23,3,B,4,S,0.0311907614,0.0752
0.94,1,B,15,S,0.0629612174,0.085
0.94,2,B,15,S,0.066111929,0.0814
0.94,3,B,15,S,0.0566433096,0.1026
1.59,1,F,0,S,0.8701335577,
1.59,2,F,0,S,1.1311157768,
1.59,3,F,0,S,0.8457309583,
1.83,1,F,4,S,1.2923830504,
1.83,2,F,4,S,1.5669017955,
1.83,3,F,4,S,1.1012849569,
2.82,1,F,15,S,2.1377520672,
2.82,2,F,15,S,2.9396300028,
2.82,3,F,15,S,2.4455319994,
0.57,1,F,0,S,0.418754013,
0.57,2,F,0,S,0.2142316774,
0.57,3,F,0,S,0.1346486198,
0.23,1,F,4,S,0.0392082851,
0.23,2,F,4,S,0.0652695349,
0.23,3,F,4,S,0.0413437771,
0.94,1,F,15,S,0.3802153808,
0.94,2,F,15,S,0.528806368,
0.94,3,F,15,S,0.3283902102,
