CD,T4--1.0°-VLM2, , CD,T4--2.0°-VLM2, , CD,T4--3.0°-VLM2, , CD,T4--4.0°-VLM2, , CD,T4--5.0°-VLM2, , CD,T4--6.0°-VLM2, , CD,T4-0.0°-VLM2, , CD,T4-1.0°-VLM2, , CD,T4-2.0°-VLM2, , CD,T4-3.0°-VLM2, , CD,T4-4.0°-VLM2, , CD,T4-5.0°-VLM2, , 
    0.0509977,     0.5082081, ,    0.04803379,     0.4464278, ,    0.04650912,     0.3843702, ,     0.0457322,     0.3220856, ,    0.04583677,     0.2596246, ,    0.04702859,     0.1970381, ,     0.0553127,     0.5696612, ,    0.06110941,      0.630738, ,    0.06836945,     0.6913898, ,    0.07706687,     0.7515688, ,    0.08725539,     0.8112282, ,     0.1006469,     0.8703219, , 
   0.05018695,     0.5082081, ,    0.04727865,     0.4464278, ,    0.04583765,     0.3843702, ,    0.04512665,     0.3220856, ,    0.04531187,     0.2596246, ,    0.04659382,     0.1970381, ,    0.05446691,     0.5696612, ,     0.0602202,      0.630738, ,    0.06746807,     0.6913898, ,    0.07613367,     0.7515688, ,    0.08629096,     0.8112282, ,    0.09985242,     0.8703219, , 
   0.04947252,     0.5082081, ,    0.04661043,     0.4464278, ,    0.04522453,     0.3843702, ,    0.04456083,     0.3220856, ,    0.04482541,     0.2596246, ,    0.04620263,     0.1970381, ,    0.05372154,     0.5696612, ,    0.05943798,      0.630738, ,    0.06667615,     0.6913898, ,    0.07531056,     0.7515688, ,    0.08544551,     0.8112282, ,     0.0991791,     0.8703219, , 
   0.04887087,     0.5082081, ,    0.04604251,     0.4464278, ,    0.04468888,     0.3843702, ,    0.04405281,     0.3220856, ,    0.04438698,     0.2596246, ,    0.04586552,     0.1970381, ,    0.05310611,     0.5696612, ,    0.05879749,      0.630738, ,    0.06601624,     0.6913898, ,    0.07461348,     0.7515688, ,    0.08473222,     0.8112282, ,     0.0987272,     0.8703219, , 
   0.04834002,     0.5082081, ,    0.04553631,     0.4464278, ,    0.04420981,     0.3843702, ,    0.04359461,     0.3220856, ,    0.04400459,     0.2596246, ,     0.0456688,     0.1970381, ,      0.052611,     0.5696612, ,     0.0583882,      0.630738, ,    0.06566111,     0.6913898, ,    0.07428071,     0.7515688, ,    0.08441472,     0.8112282, ,    0.09825541,     0.8703219, , 
   0.04786983,     0.5082081, ,    0.04508351,     0.4464278, ,    0.04377899,     0.3843702, ,    0.04317249,     0.3220856, ,    0.04365795,     0.2596246, ,    0.04559366,     0.1970381, ,    0.05221986,     0.5696612, ,    0.05821162,      0.630738, ,    0.06563795,     0.6913898, ,    0.07435717,     0.7515688, ,    0.08454502,     0.8112282, ,    0.09772731,     0.8703219, , 
   0.04739608,     0.5082081, ,    0.04467665,     0.4464278, ,    0.04338775,     0.3843702, ,    0.04277844,     0.3220856, ,    0.04324269,     0.2596246, ,    0.04513531,     0.1970381, ,     0.0517429,     0.5696612, ,    0.05804717,      0.630738, ,    0.06567888,     0.6913898, ,    0.07450045,     0.7515688, ,    0.08474521,     0.8112282, ,    0.09707406,     0.8703219, , 
   0.04699527,     0.5082081, ,     0.0443146,     0.4464278, ,    0.04303822,     0.3843702, ,    0.04241824,     0.3220856, ,    0.04286849,     0.2596246, ,    0.04480203,     0.1970381, ,    0.05136261,     0.5696612, ,    0.05793587,      0.630738, ,    0.06575594,     0.6913898, ,    0.07469277,     0.7515688, ,     0.0849978,     0.8112282, ,    0.09651981,     0.8703219, , 
   0.04666974,     0.5082081, ,    0.04400624,     0.4464278, ,    0.04274454,     0.3843702, ,    0.04211088,     0.3220856, ,    0.04259543,     0.2596246, ,    0.04470958,     0.1970381, ,    0.05098357,     0.5696612, ,    0.05736312,      0.630738, ,    0.06502889,     0.6913898, ,    0.07395639,     0.7515688, ,    0.08445627,     0.8112282, ,    0.09633077,     0.8703219, , 
   0.04648147,     0.5082081, ,    0.04373001,     0.4464278, ,    0.04246833,     0.3843702, ,    0.04181663,     0.3220856, ,      0.042325,     0.2596246, ,    0.04461175,     0.1970381, ,    0.05080695,     0.5696612, ,    0.05670412,      0.630738, ,    0.06391191,     0.6913898, ,    0.07258291,     0.7515688, ,    0.08335299,     0.8112282, ,    0.09616353,     0.8703219, , 
   0.04620646,     0.5082081, ,     0.0434498,     0.4464278, ,    0.04219241,     0.3843702, ,     0.0415104,     0.3220856, ,    0.04194448,     0.2596246, ,    0.04424991,     0.1970381, ,    0.05045984,     0.5696612, ,    0.05621094,      0.630738, ,    0.06327431,     0.6913898, ,    0.07182442,     0.7515688, ,    0.08246235,     0.8112282, ,    0.09692327,     0.8703219, , 
   0.04585779,     0.5082081, ,    0.04318291,     0.4464278, ,    0.04194304,     0.3843702, ,    0.04123444,     0.3220856, ,    0.04156646,     0.2596246, ,    0.04380264,     0.1970381, ,    0.04991963,     0.5696612, ,    0.05570225,      0.630738, ,    0.06282722,     0.6913898, ,    0.07139961,     0.7515688, ,     0.0816933,     0.8112282, ,    0.09820684,     0.8703219, , 
