CD.0, CL.0.0deg,  ,CD.1, CL.1.0deg, , CD.2, CL.2.0deg, , CD.3, CL.3.0deg, , CD.4, CL.4.0deg, , CD.5, CL.5.0deg, , 
   0.05273574,     0.5202468, ,     0.0577226,     0.5866499, ,    0.06391334,     0.6526945, ,    0.07219427,     0.7183331, ,    0.08161868,     0.7835186, ,    0.07954434,     0.8482048, , 
    0.0514286,     0.5202468, ,    0.05635454,     0.5866499, ,    0.06245274,     0.6526945, ,    0.07052134,     0.7183331, ,     0.0799254,     0.7835186, ,    0.07838083,     0.8482048, , 
   0.05025717,     0.5202468, ,    0.05511153,     0.5866499, ,    0.06110317,     0.6526945, ,    0.06895539,     0.7183331, ,    0.07848714,     0.7835186, ,    0.07740203,     0.8482048, , 
   0.04910938,     0.5202468, ,     0.0538945,     0.5866499, ,    0.05977912,     0.6526945, ,    0.06741135,     0.7183331, ,    0.07675063,     0.7835186, ,     0.0765217,     0.8482048, , 
   0.04803436,     0.5202468, ,    0.05275115,     0.5866499, ,    0.05853087,     0.6526945, ,    0.06594872,     0.7183331, ,    0.07518235,     0.7835186, ,    0.07572042,     0.8482048, , 
    0.0471287,     0.5202468, ,    0.05178441,     0.5866499, ,    0.05747385,     0.6526945, ,    0.06470062,     0.7183331, ,    0.07391113,     0.7835186, ,    0.07497023,     0.8482048, , 
   0.04628919,     0.5202468, ,    0.05088766,     0.5866499, ,    0.05649268,     0.6526945, ,    0.06353663,     0.7183331, ,    0.07277162,     0.7835186, ,    0.07485213,     0.8482048, , 
   0.04548578,     0.5202468, ,    0.05002846,     0.5866499, ,    0.05555027,     0.6526945, ,    0.06241235,     0.7183331, ,    0.07169964,     0.7835186, ,    0.07416394,     0.8482048, , 
   0.04482118,     0.5202468, ,    0.04933089,     0.5866499, ,    0.05481298,     0.6526945, ,    0.06158354,     0.7183331, ,    0.07067926,     0.7835186, ,    0.07308997,     0.8482048, , 
   0.04421341,     0.5202468, ,    0.04869576,     0.5866499, ,    0.05414846,     0.6526945, ,    0.06084413,     0.7183331, ,    0.06970853,     0.7835186, ,    0.07256035,     0.8482048, , 
   0.04365167,     0.5202468, ,    0.04810997,     0.5866499, ,    0.05353705,     0.6526945, ,    0.06016095,     0.7183331, ,    0.06880032,     0.7835186, ,     0.0720486,     0.8482048, , 
    0.0431271,     0.5202468, ,    0.04756248,     0.5866499, ,    0.05296501,     0.6526945, ,    0.05951708,     0.7183331, ,    0.06793152,     0.7835186, ,    0.07156166,     0.8482048, , 
   0.04263521,     0.5202468, ,    0.04705072,     0.5866499, ,    0.05243213,     0.6526945, ,    0.05891196,     0.7183331, ,    0.06710075,     0.7835186, ,    0.07110378,     0.8482048, , 
    0.0421587,     0.5202468, ,    0.04655656,     0.5866499, ,    0.05191944,     0.6526945, ,    0.05832705,     0.7183331, ,    0.06628984,     0.7835186, ,     0.0706611,     0.8482048, , 
   0.04170359,     0.5202468, ,    0.04608456,     0.5866499, ,    0.05142983,     0.6526945, ,    0.05776671,     0.7183331, ,    0.06550388,     0.7835186, ,    0.07023015,     0.8482048, , 
   0.04128255,     0.5202468, ,    0.04564874,     0.5866499, ,    0.05097811,     0.6526945, ,     0.0572474,     0.7183331, ,    0.06476171,     0.7835186, ,    0.06981414,     0.8482048, , 
   0.04089178,     0.5202468, ,     0.0452505,     0.5866499, ,    0.05056603,     0.6526945, ,    0.05677938,     0.7183331, ,    0.06411957,     0.7835186, ,    0.06942198,     0.8482048, , 
     0.040527,     0.5202468, ,    0.04488175,     0.5866499, ,    0.05019013,     0.6526945, ,    0.05637633,     0.7183331, ,    0.06366462,     0.7835186, ,    0.06908522,     0.8482048, , 
   0.04017624,     0.5202468, ,    0.04452728,     0.5866499, ,    0.04982898,     0.6526945, ,    0.05598923,     0.7183331, ,    0.06322675,     0.7835186, ,     0.0687709,     0.8482048, , 
   0.03984258,     0.5202468, ,    0.04419357,     0.5866499, ,    0.04948792,     0.6526945, ,    0.05562316,     0.7183331, ,    0.06281149,     0.7835186, ,    0.06846915,     0.8482048, , 
   0.03952879,     0.5202468, ,     0.0438844,     0.5866499, ,    0.04917034,     0.6526945, ,    0.05528135,     0.7183331, ,     0.0624224,     0.7835186, ,    0.06817737,     0.8482048, , 
     0.039225,     0.5202468, ,    0.04358586,     0.5866499, ,    0.04886401,     0.6526945, ,    0.05495132,     0.7183331, ,    0.06204664,     0.7835186, ,    0.06790261,     0.8482048, , 
   0.03892754,     0.5202468, ,    0.04329419,     0.5866499, ,    0.04856522,     0.6526945, ,    0.05462953,     0.7183331, ,    0.06168052,     0.7835186, ,    0.06763772,     0.8482048, , 
   0.03864255,     0.5202468, ,    0.04301614,     0.5866499, ,    0.04827922,     0.6526945, ,    0.05432055,     0.7183331, ,    0.06132802,     0.7835186, , , , , 
   0.03837345,     0.5202468, ,    0.04275441,     0.5866499, ,    0.04801011,     0.6526945, ,    0.05402989,     0.7183331, ,    0.06099611,     0.7835186, , , , , 
   0.03812321,     0.5202468, ,    0.04251271,     0.5866499, ,    0.04776352,     0.6526945, ,    0.05376835,     0.7183331, ,    0.06070564,     0.7835186, , , , , 
   0.03788159,     0.5202468, ,    0.04227985,     0.5866499, ,    0.04752661,     0.6526945, ,    0.05351895,     0.7183331, ,    0.06043218,     0.7835186, , , , , 
    0.0376511,     0.5202468, ,    0.04205746,     0.5866499, ,    0.04729996,     0.6526945, ,     0.0532803,     0.7183331, ,    0.06017014,     0.7835186, , , , , 
   0.03742637,     0.5202468, ,    0.04184108,     0.5866499, ,    0.04707982,     0.6526945, ,    0.05304922,     0.7183331, ,    0.05991679,     0.7835186, , , , , 
   0.03721388,     0.5202468, ,    0.04163654,     0.5866499, ,    0.04687208,     0.6526945, ,    0.05283163,     0.7183331, ,    0.05967849,     0.7835186, , , , , 
    0.0370109,     0.5202468, ,    0.04144009,     0.5866499, ,    0.04667241,     0.6526945, ,    0.05262243,     0.7183331, ,    0.05944917,     0.7835186, , , , , 

