,Food
Alabama,Eggs Benedict
Alaska,Cucumber Sandwiches
Arizona,Whipped Cream
Arkansas,Lasagne
California,Macaroni Salad
Colorado,Hollandaise Sauce
Connecticut,Bratkartoffeln
Delaware,Chicken Wings
Florida,Chicken Nuggets
Georgia,Mayonaise
Hawaii,Duck
Idaho,Fried Egg
Illinois,Goulash
Indiana,Roast Chicken
Iowa,Quiche
Kansas,Paella
Kentucky,Ratatouille
Louisiana,Beef Wellington
Maine,Creme Brulee
Maryland,Chicken Noodle Soup
Massachusetts,Spaghetti Bolognese
Michigan,Coleslaw
Minnesota,Spaetzle
Mississippi,Gyros
Missouri,Chicken Tikka Masala
Montana,Apple Pie
Nebraska,Bangers & Mash
Nevada,Tiramisu
New Hampshire,Yorkshire Pudding
New Jersey,Scallops
New Mexico,Mac and Cheese
New York,Roast Beef
North Carolina,Risotto
North Dakota,Australian Meat Pie
Ohio,Kale Salad
Oklahoma,Couscous
Oregon,Mashed Potato
Pennsylvania,Fresh Spring Rolls
Rhode Island,Baked Beans
South Carolina,Calamari
South Dakota,Roast Beets
Tennessee,French Toast
Texas,Aioli
Utah,Pumpkin Soup
Vermont,Dulce De Leche
Virginia,Dim Sum
Washington,Barbecue
West Virginia,French Onion Soup
Wisconsin,Bratwurst
Wyoming,Gazpacho
District of Columbia,Orange
